;Height;Floors;End Use;Envelope;id;Name;ExtWallCoeff;VolCoeff;Cooling System;Heating System;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];January Heating Demand [Wh];January Cooling Demand [Wh];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];February Heating Demand [Wh];February Cooling Demand [Wh];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];March Heating Demand [Wh];March Cooling Demand [Wh];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];April Heating Demand [Wh];April Cooling Demand [Wh];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];May Heating Demand [Wh];May Cooling Demand [Wh];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];June Heating Demand [Wh];June Cooling Demand [Wh];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];July Heating Demand [Wh];July Cooling Demand [Wh];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];August Heating Demand [Wh];August Cooling Demand [Wh];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];September Heating Demand [Wh];September Cooling Demand [Wh];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];October Heating Demand [Wh];October Cooling Demand [Wh];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];November Heating Demand [Wh];November Cooling Demand [Wh];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];December Heating Demand [Wh];December Cooling Demand [Wh];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [Wh];Total Cooling Demand [Wh]
3312085;18.75625;5;shop;Before 1930;3312085;Bd3312085;1.0;1.0;IdealLoad;IdealLoad;True;100140.52567084429;26695.241764970153;347;50693.38885298313;9337.846189174626;2201.366453047238;-595.3304870082948;0.0;34501785.98615551;0.0;0.0;1363741148.4913263;0.0;0.0;32716049.859988853;0.0;0.0;1132771575.9825742;0.0;0.0;36285028.136055514;0.0;0.0;903234439.0467254;0.0;0.0;34798161.68571663;0.0;0.0;271048406.83746636;0.0;0.0;36507933.40479302;0.0;0.0;8084952.029586705;0.0;0.0;33683635.342029124;0.0;0.0;115139539.97329777;-178290654.1495804;0.0;36062122.86731801;0.0;0.0;105442943.12171173;-294451924.9258915;0.0;36507933.40479302;0.0;0.0;120336304.57944322;-246810244.51767236;0.0;34575256.41697913;0.0;0.0;118524898.12308383;-127529864.37041588;0.0;36507933.40479302;0.0;0.0;313187164.77975845;0.0;0.0;35243972.22319163;0.0;0.0;849024036.4560153;0.0;0.0;35839217.59858051;0.0;0.0;1261119092.9449124;0.0;0.0;423229030.330394;0.0;0.0;6561654502.365902;-847082687.9635602
3521512;11.74;3;university;1945-1960;3521512;Bd3521512;1.0;1.0;IdealLoad;IdealLoad;True;20264.702946401423;5178.373836388779;67;7813.099469736448;2013.8850727163835;370.0387549957206;-122.09041291017299;0.0;6692696.302673566;0.0;0.0;237963569.49139112;0.0;0.0;6346297.146005506;0.0;0.0;197618764.72290808;0.0;0.0;7038611.674944337;0.0;0.0;158561102.27909958;0.0;0.0;6750187.6032529315;0.0;0.0;48004492.89341249;0.0;0.0;7081851.096478183;0.0;0.0;1568328.3345801518;0.0;0.0;6533990.4955837;0.0;0.0;22334900.97527243;-32580536.18936907;0.0;6995372.25341049;0.0;0.0;20453943.916319977;-52163037.601979695;0.0;7081851.096478183;0.0;0.0;23342975.376967773;-45925315.44846044;0.0;6706948.181719085;0.0;0.0;22964522.478209455;-24162350.20144317;0.0;7081851.096478183;0.0;0.0;55232280.62935992;0.0;0.0;6836666.446320624;0.0;0.0;147993247.13684884;0.0;0.0;6952132.831876644;0.0;0.0;220093276.1571734;0.0;0.0;82098456.22522144;0.0;0.0;1156131404.3915434;-154831239.44125238
3822670;9.21;2;worship;1930-1945;3822670;Bd3822670;1.0;1.0;IdealLoad;IdealLoad;True;14074.479311469684;3056.34729890764;40;8524.276448973626;1502.6456273170286;361.06116575812047;-276.2304575771175;0.0;34681106.32405673;0.0;0.0;576979175.5487573;0.0;0.0;31324870.228180274;0.0;0.0;487307532.68260574;0.0;0.0;34681106.32405673;0.0;0.0;430688218.7989025;0.0;0.0;33562360.95876458;0.0;0.0;142265399.33239046;-53018.267444222736;0.0;34681106.32405673;0.0;0.0;7736361.812529212;0.0;0.0;33562360.95876458;0.0;0.0;145077518.30061337;-201238936.39932618;0.0;34681106.32405673;0.0;0.0;138196558.5318405;-284728953.2576507;0.0;34681106.32405673;0.0;0.0;153943976.99850512;-299535800.9809577;0.0;33562360.95876458;0.0;0.0;142040989.68995696;-154181175.96644104;0.0;34681106.32405673;0.0;0.0;153683093.4422152;0.0;0.0;33562360.95876458;0.0;0.0;372303648.3266451;0.0;0.0;34681106.32405673;0.0;0.0;540129576.261561;0.0;0.0;408342058.3316357;0.0;0.0;3290352049.726522;-939737884.8718199
5448345;11.3;3;shop;1945-1960;5448345;Bd5448345;1.0;1.0;IdealLoad;IdealLoad;True;17470.01746805224;4638.057734881125;60;6600.403700228864;1540.025105369946;308.2389798520919;-101.78135895705115;0.0;5994374.457034653;0.0;0.0;204873470.943734;0.0;0.0;5684118.894438771;0.0;0.0;170647894.7923388;0.0;0.0;6304196.713724712;0.0;0.0;137798158.62846547;0.0;0.0;6045867.064514389;0.0;0.0;41904380.92315224;0.0;0.0;6342924.49581097;0.0;0.0;1404687.5704333745;0.0;0.0;5852228.154083102;0.0;0.0;20004457.673223294;-28768660.594866954;0.0;6265468.931638455;0.0;0.0;18319761.33574576;-45491780.125998035;0.0;6342924.49581097;0.0;0.0;20907348.701148633;-40352413.84585918;0.0;6007139.282428131;0.0;0.0;20575019.866797857;-22033620.05888117;0.0;6342924.49581097;0.0;0.0;48691977.64037749;0.0;0.0;6123322.628686904;0.0;0.0;127880988.03177695;0.0;0.0;6226741.149552197;0.0;0.0;189518087.86728764;0.0;0.0;73532230.76353422;0.0;0.0;1002526233.9744815;-136646474.62560534
5448346;14.7;4;shop;1945-1960;5448346;Bd5448346;1.0;1.0;IdealLoad;IdealLoad;True;21190.523008720545;5766.128709855931;75;6379.022524182272;1585.0390330635876;311.80830813229176;-121.1263812601623;0.0;7452329.5375107;0.0;0.0;227021348.51825944;0.0;0.0;7066613.444883734;0.0;0.0;189351792.56867293;0.0;0.0;7837506.935329076;0.0;0.0;154391924.87197986;0.0;0.0;7516346.205544232;0.0;0.0;47682035.258192815;0.0;0.0;7885654.110056372;0.0;0.0;1746336.4604841971;0.0;0.0;7275610.331907747;0.0;0.0;24869952.96483239;-34114938.00583143;0.0;7789359.760601779;0.0;0.0;22775503.849664718;-50537024.395075485;0.0;7885654.110056372;0.0;0.0;25992445.649396844;-48398650.47815048;0.0;7468199.030816935;0.0;0.0;25571266.70496071;-27194698.908117697;0.0;7885654.110056372;0.0;0.0;55091292.50541224;0.0;0.0;7612640.554998826;0.0;0.0;142052783.63821957;0.0;0.0;7741212.585874481;0.0;0.0;210177749.48129565;0.0;0.0;91416780.71763664;0.0;0.0;1126724432.4713714;-160245311.78717506
5825118;10.033333333333333;2;worship;1945-1960;5825118;Bd5825118;1.0;1.0;IdealLoad;IdealLoad;True;20980.29121785888;4182.11785073599;54;9510.774432332382;2470.0748580035224;441.8283299805641;-390.2512486088115;0.0;47455494.96058546;0.0;0.0;765724527.0449518;0.0;0.0;42863027.706335254;0.0;0.0;647403627.1875032;0.0;0.0;47455494.96058546;0.0;0.0;573831078.6591868;0.0;0.0;45924672.54250205;0.0;0.0;189370320.28214985;-56367.51908636521;0.0;47455494.96058546;0.0;0.0;10585962.1540701;0.0;0.0;45924672.54250205;0.0;0.0;198515161.95241377;-273840057.4578325;0.0;47455494.96058546;0.0;0.0;189099679.39600852;-387932457.44199735;0.0;47455494.96058546;0.0;0.0;210647479.24715292;-410063577.97520727;0.0;45924672.54250205;0.0;0.0;194360162.7769485;-212466691.13909218;0.0;47455494.96058546;0.0;0.0;204279937.0575715;0.0;0.0;45924672.54250205;0.0;0.0;493011102.22407985;0.0;0.0;47455494.96058546;0.0;0.0;716593897.7711394;0.0;0.0;558750182.6004417;0.0;0.0;4393422935.753176;-1284359151.5332158
7592971;7.972727272727273;2;residential;1971-1980;7592971;Bd7592971;1.0;1.0;IdealLoad;IdealLoad;True;21372.736399539226;5361.46181060277;70;10062.077993810371;1418.769330546002;551.2336747044089;-165.73130654287363;0.0;2775628.779349054;0.0;0.0;249436026.17287272;0.0;0.0;2507019.5426378553;0.0;0.0;207296958.5953757;0.0;0.0;2775628.779349054;0.0;0.0;162670220.86593542;0.0;0.0;2686092.367111988;0.0;0.0;53262678.86678465;0.0;0.0;2775628.779349054;0.0;0.0;9507522.959822055;0.0;0.0;2686092.367111988;0.0;0.0;9200828.670795538;-28026276.75831616;0.0;2775628.779349054;0.0;0.0;9507522.959822055;-36975903.60773097;0.0;2775628.779349054;0.0;0.0;9507522.959822055;-30268201.890000217;0.0;2686092.367111988;0.0;0.0;9200828.670795538;-22126867.374540687;0.0;2775628.779349054;0.0;0.0;62523808.995939836;0.0;0.0;2686092.367111988;0.0;0.0;156615019.01589426;0.0;0.0;2775628.779349054;0.0;0.0;230136584.6671312;0.0;0.0;32680790.46652919;0.0;0.0;1168865523.400991;-117397249.63058802
14119790;7.525;2;shop;Before 1930;14119790;Bd14119790;1.0;1.0;IdealLoad;IdealLoad;True;29688.76014283973;7890.70037018996;102;23113.8918697325;2375.4353508939344;902.6250350274586;-186.5729494749614;0.0;10198194.039598968;0.0;0.0;500486493.9755664;0.0;0.0;9670358.074078895;0.0;0.0;415745080.0353193;0.0;0.0;10725292.824327659;0.0;0.0;329069968.6152222;0.0;0.0;10285798.110123288;0.0;0.0;97892496.5016995;0.0;0.0;10791180.172418743;0.0;0.0;2389786.709350644;0.0;0.0;9956361.369667858;0.0;0.0;34035411.1123861;-59220516.28532064;0.0;10659405.476236572;0.0;0.0;31167302.30988938;-100191342.55410418;0.0;10791180.172418743;0.0;0.0;35569549.48946371;-78913309.2631671;0.0;10219910.762032203;0.0;0.0;35109959.92994612;-39827826.8147656;0.0;10791180.172418743;0.0;0.0;114463396.6458166;0.0;0.0;10417572.80630546;0.0;0.0;312620797.9177785;0.0;0.0;10593518.128145486;0.0;0.0;462759627.17857164;0.0;0.0;125099952.10777265;0.0;0.0;2371309870.42101;-278152994.91735756
14180150;8.15;2;services;Before 1930;14180150;Bd14180150;1.0;1.0;IdealLoad;IdealLoad;True;14373.449102761984;3527.226773683922;46;12384.751822595998;1709.2290571761453;493.9880013494996;-95.62100587794087;0.0;4558700.9228727445;0.0;0.0;257021336.7571963;0.0;0.0;4322752.646756553;0.0;0.0;213066314.5149181;0.0;0.0;4794319.67135483;0.0;0.0;166351869.98763537;0.0;0.0;4597860.871741723;0.0;0.0;48754236.74623278;0.0;0.0;4823772.014915091;0.0;0.0;1068260.0110454657;0.0;0.0;4450599.15394042;0.0;0.0;15213641.411023282;-28641629.214124624;0.0;4764867.32779457;0.0;0.0;13932114.769717967;-51064330.494516574;0.0;4823772.014915091;0.0;0.0;15899965.96006741;-38690122.06491428;0.0;4568408.528181463;0.0;0.0;15682589.038957488;-17546283.59009434;0.0;4823772.014915091;0.0;0.0;57282886.37415307;0.0;0.0;4656765.558862245;0.0;0.0;159717159.11044323;0.0;0.0;4735414.984234309;0.0;0.0;237436271.67292753;0.0;0.0;55921005.71048413;0.0;0.0;1201426646.354318;-135942365.36364982
14362251;15.15;4;shop;Before 1930;14362251;Bd14362251;1.0;1.0;IdealLoad;IdealLoad;True;1846.4987182617188;487.5244140625;6;2046.9291737490462;493.77216849060613;87.189040418443;-16.2610135828712;0.0;630092.176916797;0.0;0.0;42083909.76689222;0.0;0.0;597479.9995765625;0.0;0.0;34818407.67382566;0.0;0.0;662658.807776172;0.0;0.0;26514768.25094153;0.0;0.0;635504.7665664064;0.0;0.0;7534520.680188837;0.0;0.0;666729.6366335938;0.0;0.0;147652.21216763483;0.0;0.0;615150.622279297;0.0;0.0;2102746.8960617054;-4553183.344361462;0.0;658587.9789187501;0.0;0.0;1925661.8656997397;-9028450.124842092;0.0;666729.6366335938;0.0;0.0;2197653.3082956774;-6448002.987163702;0.0;631433.9377089845;0.0;0.0;2163794.0887280847;-2238386.6810935014;0.0;666729.6366335938;0.0;0.0;8966822.422802694;0.0;0.0;643646.4242812501;0.0;0.0;25853545.579396777;0.0;0.0;654517.1500613282;0.0;0.0;38777848.08756796;0.0;0.0;7729260.773986327;0.0;0.0;193087330.83256853;-22268023.137460757
